,Variant,Time,Location,BirthsSingle
0,High,2023,Afghanistan,1542341.0
1,High,2024,Afghanistan,3096794.0
2,High,2025,Afghanistan,4663043.0
3,High,2026,Afghanistan,6248250.0
4,High,2027,Afghanistan,7898637.0
5,High,2028,Afghanistan,9559375.0
6,High,2029,Afghanistan,11231639.0
7,High,2030,Afghanistan,12917082.0
8,High,2031,Afghanistan,14608543.0
9,High,2032,Afghanistan,16358534.0
10,High,2033,Afghanistan,18114462.0
11,High,2034,Afghanistan,19881823.0
12,High,2035,Afghanistan,21658338.0
13,High,2036,Afghanistan,23453122.0
14,High,2037,Afghanistan,25265772.0
15,High,2038,Afghanistan,27089615.0
16,High,2039,Afghanistan,28927792.0
17,High,2040,Afghanistan,30783847.0
18,High,2041,Afghanistan,32654198.0
19,High,2042,Afghanistan,34545987.0
20,High,2043,Afghanistan,36452265.0
21,High,2044,Afghanistan,38383316.0
22,High,2045,Afghanistan,40332377.0
23,High,2046,Afghanistan,42305070.0
24,High,2047,Afghanistan,44294311.0
25,High,2048,Afghanistan,46303647.0
26,High,2049,Afghanistan,48331935.0
27,High,2050,Afghanistan,50381753.0
28,High,2051,Afghanistan,52450753.0
29,High,2052,Afghanistan,54539413.0
30,High,2053,Afghanistan,56644618.0
31,High,2054,Afghanistan,58769385.0
32,High,2055,Afghanistan,60918343.0
33,High,2056,Afghanistan,63075029.0
34,High,2057,Afghanistan,65255137.0
35,High,2058,Afghanistan,67444155.0
36,High,2059,Afghanistan,69644490.0
37,High,2060,Afghanistan,71858947.0
38,High,2061,Afghanistan,74081069.0
39,High,2062,Afghanistan,76304383.0
40,High,2063,Afghanistan,78540994.0
41,High,2064,Afghanistan,80792289.0
42,High,2065,Afghanistan,83046579.0
43,High,2066,Afghanistan,85314048.0
44,High,2067,Afghanistan,87602121.0
45,High,2068,Afghanistan,89900460.0
46,High,2069,Afghanistan,92197187.0
47,High,2070,Afghanistan,94499064.0
48,High,2071,Afghanistan,96811906.0
49,High,2072,Afghanistan,99141853.0
50,High,2073,Afghanistan,101484158.0
51,High,2074,Afghanistan,103838872.0
52,High,2075,Afghanistan,106204362.0
53,High,2076,Afghanistan,108587299.0
54,High,2077,Afghanistan,110983873.0
55,High,2078,Afghanistan,113388695.0
56,High,2079,Afghanistan,115818621.0
57,High,2080,Afghanistan,118256635.0
58,High,2081,Afghanistan,120703181.0
59,High,2082,Afghanistan,123169591.0
60,High,2083,Afghanistan,125645200.0
61,High,2084,Afghanistan,128131468.0
62,High,2085,Afghanistan,130617913.0
63,High,2086,Afghanistan,133111250.0
64,High,2087,Afghanistan,135613669.0
65,High,2088,Afghanistan,138124413.0
66,High,2089,Afghanistan,140646238.0
67,High,2090,Afghanistan,143172543.0
68,High,2091,Afghanistan,145696576.0
69,High,2092,Afghanistan,148237085.0
70,High,2093,Afghanistan,150785550.0
71,High,2094,Afghanistan,153347087.0
72,High,2095,Afghanistan,155919874.0
73,High,2096,Afghanistan,158502347.0
74,High,2097,Afghanistan,161083851.0
75,High,2098,Afghanistan,163682521.0
76,High,2099,Afghanistan,166285520.0
77,High,2100,Afghanistan,168897615.0
78,Low,2023,Afghanistan,1376696.0
79,Low,2024,Afghanistan,2759769.0
80,Low,2025,Afghanistan,4148944.0
81,Low,2026,Afghanistan,5551455.0
82,Low,2027,Afghanistan,6900881.0
83,Low,2028,Afghanistan,8251951.0
84,Low,2029,Afghanistan,9605904.0
85,Low,2030,Afghanistan,10964392.0
86,Low,2031,Afghanistan,12320207.0
87,Low,2032,Afghanistan,13639929.0
88,Low,2033,Afghanistan,14954560.0
89,Low,2034,Afghanistan,16269463.0
90,Low,2035,Afghanistan,17582213.0
91,Low,2036,Afghanistan,18901638.0
92,Low,2037,Afghanistan,20226793.0
93,Low,2038,Afghanistan,21550143.0
94,Low,2039,Afghanistan,22873528.0
95,Low,2040,Afghanistan,24198738.0
96,Low,2041,Afghanistan,25520282.0
97,Low,2042,Afghanistan,26843311.0
98,Low,2043,Afghanistan,28159109.0
99,Low,2044,Afghanistan,29475767.0
100,Low,2045,Afghanistan,30784641.0
101,Low,2046,Afghanistan,32089128.0
102,Low,2047,Afghanistan,33380845.0
103,Low,2048,Afghanistan,34661970.0
104,Low,2049,Afghanistan,35930597.0
105,Low,2050,Afghanistan,37188420.0
106,Low,2051,Afghanistan,38432878.0
107,Low,2052,Afghanistan,39664317.0
108,Low,2053,Afghanistan,40880276.0
109,Low,2054,Afghanistan,42083789.0
110,Low,2055,Afghanistan,43279178.0
111,Low,2056,Afghanistan,44453211.0
112,Low,2057,Afghanistan,45619478.0
113,Low,2058,Afghanistan,46766988.0
114,Low,2059,Afghanistan,47898669.0
115,Low,2060,Afghanistan,49017641.0
116,Low,2061,Afghanistan,50119739.0
117,Low,2062,Afghanistan,51200913.0
118,Low,2063,Afghanistan,52271097.0
119,Low,2064,Afghanistan,53331763.0
120,Low,2065,Afghanistan,54374578.0
121,Low,2066,Afghanistan,55407109.0
122,Low,2067,Afghanistan,56434561.0
123,Low,2068,Afghanistan,57449372.0
124,Low,2069,Afghanistan,58443122.0
125,Low,2070,Afghanistan,59420444.0
126,Low,2071,Afghanistan,60385139.0
127,Low,2072,Afghanistan,61341075.0
128,Low,2073,Afghanistan,62284802.0
129,Low,2074,Afghanistan,63216102.0
130,Low,2075,Afghanistan,64133710.0
131,Low,2076,Afghanistan,65041661.0
132,Low,2077,Afghanistan,65937395.0
133,Low,2078,Afghanistan,66817575.0
134,Low,2079,Afghanistan,67692346.0
135,Low,2080,Afghanistan,68551584.0
136,Low,2081,Afghanistan,69395804.0
137,Low,2082,Afghanistan,70231719.0
138,Low,2083,Afghanistan,71053529.0
139,Low,2084,Afghanistan,71862391.0
140,Low,2085,Afghanistan,72653032.0
141,Low,2086,Afghanistan,73429532.0
142,Low,2087,Afghanistan,74193437.0
143,Low,2088,Afghanistan,74944720.0
144,Low,2089,Afghanistan,75685104.0
145,Low,2090,Afghanistan,76411625.0
146,Low,2091,Afghanistan,77121388.0
147,Low,2092,Afghanistan,77823707.0
148,Low,2093,Afghanistan,78514733.0
149,Low,2094,Afghanistan,79197024.0
150,Low,2095,Afghanistan,79869862.0
151,Low,2096,Afghanistan,80532648.0
152,Low,2097,Afghanistan,81180854.0
153,Low,2098,Afghanistan,81822413.0
154,Low,2099,Afghanistan,82451900.0
155,Low,2100,Afghanistan,83071394.0
156,Medium,2023,Afghanistan,1459505.0
157,Medium,2024,Afghanistan,2928240.0
158,Medium,2025,Afghanistan,4405904.0
159,Medium,2026,Afghanistan,5899690.0
160,Medium,2027,Afghanistan,7399489.0
161,Medium,2028,Afghanistan,8905254.0
162,Medium,2029,Afghanistan,10418190.0
163,Medium,2030,Afghanistan,11939948.0
164,Medium,2031,Afghanistan,13463340.0
165,Medium,2032,Afghanistan,14997896.0
166,Medium,2033,Afghanistan,16532828.0
167,Medium,2034,Afghanistan,18073558.0
168,Medium,2035,Afghanistan,19617727.0
169,Medium,2036,Afghanistan,21174286.0
170,Medium,2037,Afghanistan,22742522.0
171,Medium,2038,Afghanistan,24315264.0
172,Medium,2039,Afghanistan,25894892.0
173,Medium,2040,Afghanistan,27483912.0
174,Medium,2041,Afghanistan,29077598.0
175,Medium,2042,Afghanistan,30681888.0
176,Medium,2043,Afghanistan,32288736.0
177,Medium,2044,Afghanistan,33907088.0
178,Medium,2045,Afghanistan,35528986.0
179,Medium,2046,Afghanistan,37158667.0
180,Medium,2047,Afghanistan,38788163.0
181,Medium,2048,Afghanistan,40420135.0
182,Medium,2049,Afghanistan,42052895.0
183,Medium,2050,Afghanistan,43688428.0
184,Medium,2051,Afghanistan,45324157.0
185,Medium,2052,Afghanistan,46960405.0
186,Medium,2053,Afghanistan,48594343.0
187,Medium,2054,Afghanistan,50228969.0
188,Medium,2055,Afghanistan,51868739.0
189,Medium,2056,Afghanistan,53498825.0
190,Medium,2057,Afghanistan,55133851.0
191,Medium,2058,Afghanistan,56761120.0
192,Medium,2059,Afghanistan,58383332.0
193,Medium,2060,Afghanistan,60003474.0
194,Medium,2061,Afghanistan,61616261.0
195,Medium,2062,Afghanistan,63216440.0
196,Medium,2063,Afghanistan,64814971.0
197,Medium,2064,Afghanistan,66413204.0
198,Medium,2065,Afghanistan,68001036.0
199,Medium,2066,Afghanistan,69587157.0
200,Medium,2067,Afghanistan,71177667.0
201,Medium,2068,Afghanistan,72763441.0
202,Medium,2069,Afghanistan,74334162.0
203,Medium,2070,Afghanistan,75895278.0
204,Medium,2071,Afghanistan,77451347.0
205,Medium,2072,Afghanistan,79007117.0
206,Medium,2073,Afghanistan,80558308.0
207,Medium,2074,Afghanistan,82104633.0
208,Medium,2075,Afghanistan,83644472.0
209,Medium,2076,Afghanistan,85182946.0
210,Medium,2077,Afghanistan,86716765.0
211,Medium,2078,Afghanistan,88241519.0
212,Medium,2079,Afghanistan,89770403.0
213,Medium,2080,Afghanistan,91290009.0
214,Medium,2081,Afghanistan,92800786.0
215,Medium,2082,Afghanistan,94311563.0
216,Medium,2083,Afghanistan,95814287.0
217,Medium,2084,Afghanistan,97310255.0
218,Medium,2085,Afghanistan,98791813.0
219,Medium,2086,Afghanistan,100264251.0
220,Medium,2087,Afghanistan,101729399.0
221,Medium,2088,Afghanistan,103186879.0
222,Medium,2089,Afghanistan,104638845.0
223,Medium,2090,Afghanistan,106080643.0
224,Medium,2091,Afghanistan,107507592.0
225,Medium,2092,Afghanistan,108933159.0
226,Medium,2093,Afghanistan,110351320.0
227,Medium,2094,Afghanistan,111765674.0
