,Year,Population
1,1980,4420000000.0
2,1981,4486124145.774676
3,1982,4555361669.830934
4,1983,4627691896.481016
5,1984,4702930437.462069
6,1985,4780653642.948143
7,1986,4860372141.385527
8,1987,4941784657.348516
9,1988,5024809286.042204
10,1989,5109465661.236526
11,1990,5195780519.056702
12,1991,5283721602.976505
13,1992,5373146993.415669
14,1993,5463840161.420634
15,1994,5555577653.529688
16,1995,5648105787.22133
17,1996,5741145025.609938
18,1997,5834502772.760065
19,1998,5928073374.532978
20,1999,6021683465.355657
21,2000,6115035721.38718
22,2001,6207828136.143491
23,2002,6299819344.086158
24,2003,6390746010.214865
25,2004,6480321377.721741
26,2005,6568360088.861985
27,2006,6654792328.893776
28,2007,6739593338.703708
29,2008,6822815971.572461
30,2009,6904591721.470374
31,2010,6984962639.847104
32,2011,7063795148.642779
33,2012,7140967744.575293
34,2013,7216469057.943665
35,2014,7290214396.836529
36,2015,7362014232.583894
37,2016,7431798883.113637
38,2017,7499631948.741842
39,2018,7565544566.167616
40,2019,7629585459.504793
41,2020,7691893513.28524
42,2021,7752500130.069501
43,2022,7811208720.455406
44,2023,7868383890.528827
45,2024,7924460289.518841
46,2025,7979307396.827459
47,2026,8032656137.815956
48,2027,8084402428.832293
49,2028,8134608830.5207205
50,2029,8183261223.694936
51,2030,8230335018.036735
52,2031,8275927126.546785
53,2032,8320046293.935841
54,2033,8362474354.261908
55,2034,8403052446.734624
56,2035,8441805539.275554
57,2036,8478651385.561212
58,2037,8513370020.7537985
59,2038,8545919467.1327715
60,2039,8576407368.8764
61,2040,8604831889.548346
62,2041,8631168599.283443
63,2042,8655539544.381664
64,2043,8678027400.40525
65,2044,8698510334.644648
66,2045,8716895483.959517
67,2046,8733266066.872017
68,2047,8747645017.591108
69,2048,8759921778.128918
70,2049,8770110869.866375
71,2050,8778367338.698633
72,2051,8784753132.499836
73,2052,8789255496.381363
74,2053,8791948565.464914
75,2054,8792909124.225338
76,2055,8792081086.445541
77,2056,8789408248.03471
78,2057,8784956883.677832
79,2058,8778774741.93668
80,2059,8770822148.144003
81,2060,8761123525.16527
82,2061,8749789061.376493
83,2062,8736867615.66279
84,2063,8722327920.561115
85,2064,8706176616.111864
86,2065,8688459810.0717
87,2066,8669171663.958807
88,2067,8648286482.90218
89,2068,8625841824.480036
90,2069,8601895584.198807
91,2070,8576464912.808306
92,2071,8549569939.273843
93,2072,8521265609.223766
94,2073,8491588502.919678
95,2074,8460536584.886438
96,2075,8428127245.908871
97,2076,8394410488.686765
98,2077,8359422256.45832
99,2078,8323186435.544634
100,2079,8285749466.175777
101,2080,8247166498.684326
102,2081,8207476868.353829
103,2082,8166715066.361522
104,2083,8124924798.311465
105,2084,8082150184.082435
106,2085,8038433267.038272
107,2086,7993822174.783343
108,2087,7948364560.484295
109,2088,7902102082.972413
110,2089,7855080686.485126
111,2090,7807346912.8409195
112,2091,7758935503.243705
113,2092,7709883829.487505
114,2093,7660247627.841117
115,2094,7610078240.773853
116,2095,7559406129.78657
117,2096,7508270472.099951
118,2097,7456727277.272234
119,2098,7404809644.889907
120,2099,7352526428.5156
121,2100,7299909445.991988
