,year_id,"""Births Mp/y""","""Population below 15 k$/p/y Mp""",Population Mp,Working age population Mp,scenario,Births
0,1980,94.6000056058169,3914.770131416267,4420.0,1977.142857142857,Great Leap,94600005
1,1981,97.6594489336384,3940.18636167757,4486.124145774676,2041.694903443853,Great Leap,97659448
2,1982,100.56908285241,3980.744799745539,4555.361669830933,2107.341551238278,Great Leap,100569082
3,1983,103.3169014463257,4030.359976913891,4627.691896481017,2174.1288494331,Great Leap,103316901
4,1984,105.7347385970049,4074.497332483958,4702.930437462069,2243.064313772636,Great Leap,105734738
5,1985,107.7854112796627,4141.727872701224,4780.653642948143,2314.047779989337,Great Leap,107785411
6,1986,109.7496195565449,4241.706182328682,4860.372141385526,2385.036160405858,Great Leap,109749619
7,1987,111.795990394794,4310.736352129953,4941.784657348517,2454.990053106745,Great Leap,111795990
8,1988,113.7769687747512,4334.070372130797,5024.809286042204,2524.672918639743,Great Leap,113776968
9,1989,115.595492702426,4351.891246907743,5109.465661236525,2594.475512901206,Great Leap,115595492
10,1990,117.2830294617339,4366.075995033484,5195.780519056701,2664.114229091434,Great Leap,117283029
11,1991,118.7252278731419,4346.893310258102,5283.721602976505,2733.919807976375,Great Leap,118725227
12,1992,119.7828646316701,4327.567993148096,5373.146993415669,2804.235056113605,Great Leap,119782864
13,1993,120.5487209267141,4359.397687176453,5463.840161420634,2874.491441709491,Great Leap,120548720
14,1994,121.1100627058757,4418.09977251029,5555.577653529688,2944.26408173315,Great Leap,121110062
15,1995,121.3977434062087,4469.789225370497,5648.10578722133,3013.7411123676,Great Leap,121397743
16,1996,121.5035561992972,4549.69787646622,5741.145025609938,3082.664042670222,Great Leap,121503556
17,1997,121.6872539085995,4647.550566676003,5834.502772760065,3150.384106843725,Great Leap,121687253
18,1998,121.9706371024119,4691.63547052544,5928.073374532978,3216.980727877138,Great Leap,121970637
19,1999,122.1068309453777,4657.091691495101,6021.683465355656,3283.258991580792,Great Leap,122106830
20,2000,121.9561004890529,4607.978910304844,6115.03572138718,3349.748523737615,Great Leap,121956100
21,2001,121.6217325746409,4584.350722473681,6207.828136143491,3416.355653613364,Great Leap,121621732
22,2002,121.1413405300234,4530.702755830919,6299.819344086158,3483.145649809417,Great Leap,121141340
23,2003,120.3913769736335,4443.754423031754,6390.746010214864,3550.570240153466,Great Leap,120391376
24,2004,119.402045446961,4415.391256212843,6480.321377721741,3618.688979801967,Great Leap,119402045
25,2005,118.372538731278,4454.806619309229,6568.360088861985,3687.130800815595,Great Leap,118372538
26,2006,117.3884563496986,4481.98408047247,6654.792328893776,3755.750394529176,Great Leap,117388456
27,2007,116.4925900113436,4516.787474850148,6739.593338703708,3824.462186371187,Great Leap,116492590
28,2008,115.8372570946238,4600.424845395769,6822.815971572461,3892.892441616287,Great Leap,115837257
29,2009,115.436331112438,4614.573321905155,6904.591721470374,3960.908541041824,Great Leap,115436331
30,2010,114.9910822436543,4467.577432095182,6984.962639847104,4029.028024188287,Great Leap,114991082
31,2011,114.3067483881585,4315.932816791455,7063.795148642779,4097.56883147448,Great Leap,114306748
32,2012,113.5663169537158,4269.136302531216,7140.967744575292,4166.03199258412,Great Leap,113566316
33,2013,112.8339489114756,4156.772488249236,7216.469057943665,4234.126588030907,Great Leap,112833948
34,2014,111.854774439042,3926.336625271103,7290.214396836529,4302.225912838249,Great Leap,111854774
35,2015,110.6246820742789,3791.393093811092,7362.014232583894,4370.21431786325,Great Leap,110624682
36,2016,109.4477992159302,3785.763674053286,7431.798883113637,4437.343014467592,Great Leap,109447799
37,2017,108.3856033888767,3728.248823494661,7499.631948741842,4503.326182862412,Great Leap,108385603
38,2018,107.358411706825,3692.267326721733,7565.544566167616,4568.168778087209,Great Leap,107358411
39,2019,106.5166044596703,3810.968246130187,7629.585459504793,4631.441202240283,Great Leap,106516604
40,2020,105.9168236284651,3846.831058768089,7691.89351328524,4692.871593141219,Great Leap,105916823
41,2021,105.2001750308995,3609.747724008385,7752.500130069501,4753.012534112863,Great Leap,105200175
42,2022,104.1412155744263,3406.084247846464,7811.208720455406,4812.256231594987,Great Leap,104141215
43,2023,102.9486752519158,3369.830010848904,7867.962226372525,4871.372360864326,Great Leap,102948675
44,2024,101.7476809638166,3164.165293521008,7922.768185746139,4928.77293259272,Great Leap,101747680
45,2025,100.2038941240492,2748.368115101449,7975.491796285043,4985.31715901077,Great Leap,100203894
46,2026,98.42140424593384,2523.63632952683,8025.893395854694,5040.830608734557,Great Leap,98421404
47,2027,96.77023766007514,2442.107211019253,8073.92475006868,5094.601822542094,Great Leap,96770237
48,2028,95.19557253824462,2250.107560522226,8119.643773217127,5146.66253789089,Great Leap,95195572
49,2029,93.61045990926995,2196.845069022705,8163.022586224643,5197.129691362988,Great Leap,93610459
50,2030,92.24472700875633,2405.203232617666,8204.088728105595,5245.542340783479,Great Leap,92244727
51,2031,91.10406556531854,2419.927814001065,8242.978387384024,5291.799113645213,Great Leap,91104065
52,2032,89.75888482490794,2057.573425824928,8279.67243657374,5336.629629999608,Great Leap,89758884
53,2033,88.09474361064032,1866.943250579429,8313.942534225975,5380.287061589525,Great Leap,88094743
54,2034,86.47232180133187,1929.775056399261,8345.675535867971,5422.132950078564,Great Leap,86472321
55,2035,84.8943491642612,1746.784001321246,8374.911775215998,5462.117807690881,Great Leap,84894349
56,2036,83.01210877297639,1361.646006912612,8401.550465413833,5500.889258984159,Great Leap,83012108
57,2037,80.94121854628364,1200.815226230889,8425.401806784486,5538.287508897505,Great Leap,80941218
58,2038,79.02846282836612,1135.012164529658,8446.467903739736,5573.645273854978,Great Leap,79028462
59,2039,77.17867743168601,913.8866351367172,8464.837544985043,5607.057119562755,Great Leap,77178677
60,2040,75.2457522475132,775.4407869356213,8480.48716104398,5638.755223128732,Great Leap,75245752
61,2041,73.46446036671303,868.7907476524953,8493.42728841665,5668.253710824765,Great Leap,73464460
62,2042,71.9484939435522,934.7733161329738,8503.804716783761,5695.229686014871,Great Leap,71948493
63,2043,70.38418036518704,741.4444131903119,8511.696059823298,5720.206553794765,Great Leap,70384180
64,2044,68.59356458599052,599.1579840352715,8517.004344005376,5743.555214525335,Great Leap,68593564
65,2045,66.83207198717275,620.0869091524298,8519.67714208807,5764.794548542138,Great Leap,66832071
66,2046,65.19133430898037,558.4052091943744,8519.794830011346,5783.696537997896,Great Leap,65191334
67,2047,63.43117640102562,369.2083592255353,8517.380466568953,5800.738256912957,Great Leap,63431176
68,2048,61.56688573082874,275.4428514117979,8512.378373798054,5815.931487781651,Great Leap,61566885
69,2049,59.86181841332112,266.6777956417322,8504.833658336012,5828.69553332807,Great Leap,59861818
70,2050,58.30277021675049,229.6132851059656,8494.863140234305,5838.965592776499,Great Leap,58302770
71,2051,57.19393580013371,187.0081194101946,8482.735094287611,5847.050358856479,Great Leap,57193935
72,2052,56.1325090183668,201.5029278437471,8468.712869421604,5852.814146556427,Great Leap,56132509
73,2053,55.18246479446692,215.8039420056965,8452.84923572485,5856.039101400956,Great Leap,55182464
74,2054,54.19060783536733,157.3110784476642,8435.173538010431,5857.05642493906,Great Leap,54190607
75,2055,53.05878747903376,113.5301135456055,8415.641730428939,5856.154523057185,Great Leap,53058787
76,2056,51.94185742331285,111.1993104212488,8394.233726397868,5853.00806938713,Great Leap,51941857
77,2057,50.90685468124119,89.51746203324495,8370.991671127686,5847.433649982333,Great Leap,50906854
78,2058,49.82948861065873,48.50308251791368,8345.93475804499,5839.756388048074,Great Leap,49829488
79,2059,48.72273639699902,36.02940676391135,8319.053347889983,5830.001308301985,Great Leap,48722736
80,2060,47.7287231685811,45.3802492203974,8290.377962956412,5817.788547768598,Great Leap,47728723
81,2061,46.83449230505355,47.49717275232473,8259.960002035648,5803.108347498237,Great Leap,46834492
82,2062,45.91027339092541,34.44496280441397,8227.814684565816,5786.35183914051,Great Leap,45910273
83,2063,44.94070656288591,29.98684642126032,8193.934211378846,5767.649234101472,Great Leap,44940706
84,2064,44.0003939214897,32.12698246515075,8158.328275775024,5746.831914531062,Great Leap,44000393
85,2065,43.07241351612193,24.13397407753581,8121.015445169025,5723.996812376661,Great Leap,43072413
86,2066,42.09970940531197,13.51877786221855,8082.005606317793,5699.42939924411,Great Leap,42099709
87,2067,41.12679581660017,9.7720990565993,8041.315184351719,5673.083975517494,Great Leap,41126795
88,2068,40.21358458095256,8.527888691709244,7998.972328192261,5644.787930079048,Great Leap,40213584
89,2069,39.33362474380633,6.36945961021674,7955.002295864026,5614.674870722391,Great Leap,39333624
90,2070,38.46038521092233,5.586495588459544,7909.428780729572,5582.922973007424,Great Leap,38460385
91,2071,37.62166290505651,7.186967172589533,7862.277672565762,5549.474348430992,Great Leap,37621662
92,2072,36.81803111933152,7.36614753532534,7813.570767934081,5514.36132807771,Great Leap,36818031
93,2073,35.99911601659168,4.492764702148495,7763.334461785182,5477.903882774397,Great Leap,35999116
94,2074,35.16031078351907,3.278948215047181,7711.612952118674,5440.256971964346,Great Leap,35160310
95,2075,34.34991854595523,3.418514848968146,7658.451519486456,5401.249538378906,Great Leap,34349918
96,2076,33.57026470003588,2.182088905125072,7603.882439885144,5360.902401433463,Great Leap,33570264
