,Type,level_1,"Region, subregion, country or area *",Total Population (Billions)_living,Total Population (Billions)_future,Total Population (Percentage of current 8bn)_living,Total Population (Percentage of next 8bn)_future,Ratio (Future/Living),Future-living statistic,log-ratio,Ratio (Future/Living) pct,statistic,stat_2
0,Country/Area,24,Burundi,0.013238559,0.035895828,0.0016454998774393626,0.0034425096974973132,2.7114603636241674,0.6228828138212182,0.9974873693142705,2.092075329020601,0.48535067175697066,0.48535067175697066
1,Country/Area,25,Comoros,0.000852075,0.001535434,0.00010590951085153187,0.00014725238918759833,1.8019939559311093,0.36773581464924293,0.5888938050912367,1.3903603935440938,0.1371532505319657,0.1371532505319657
2,Country/Area,26,Djibouti,0.001136455,0.001674572,0.00014125680621398075,0.0001605961101985855,1.4735048902068275,0.24206490675289913,0.3876438419595844,1.1369088294075465,-0.03434900579289879,-0.03434900579289879
3,Country/Area,27,Eritrea,0.003748901,0.008091957,0.00046597338396364013,0.0007760411723677545,2.1584877808189655,0.4804581560859979,0.7694078750378933,1.6654195262541196,0.2909846839021357,0.2909846839021357
4,Country/Area,28,Ethiopia,0.12652706,0.300615316,0.015726806952536365,0.028829844530852425,2.3758974246299567,0.5403851460232438,0.8653752291164462,1.8331657925134541,0.3727666504768685,0.3727666504768685
5,Country/Area,29,Kenya,0.055100586,0.108385768,0.006848782220922765,0.010394496469358331,1.967052909382851,0.4224644169389049,0.6765364375621187,1.5177145562613374,0.2118410118866061,0.2118410118866061
6,Country/Area,30,Madagascar,0.030325732,0.075299217,0.003769367065498515,0.007221404246099423,2.4830139961666875,0.5679221692675227,0.9094731433070368,1.915813482904818,0.41034624386024277,0.41034624386024277
7,Country/Area,31,Malawi,0.020931751,0.05368608,0.0026017328400388027,0.005148644322137285,2.5648155283330096,0.588162784946842,0.9418865572578997,1.978928905729036,0.4379684781268314,0.4379684781268314
8,Country/Area,32,Mauritius,0.001300557,0.000978122,0.0001616540277610958,9.380461903080957e-05,0.7520793014070126,-0.38217624331766353,-0.2849135065934923,0.5802801224937056,-0.6074924786653146,-0.6074924786653146
9,Country/Area,33,Mayotte,0.000335995,0.001137335,4.176283319961324e-05,0.00010907358835135679,3.384975966904269,0.7614233454934819,1.2193468064584636,2.6117382369634567,0.674416018478563,0.674416018478563
10,Country/Area,34,Mozambique,0.033897354,0.09565576,0.004213305379574823,0.009173653312063887,2.8219240947243263,0.6478181658413426,1.0374189553808242,2.1773055797321836,0.5193797816384191,0.5193797816384191
11,Country/Area,35,Réunion,0.000981796,0.001147219,0.00012203331175775675,0.00011002149142939872,1.1684901955192322,0.09723494588050219,0.15571248430623125,0.9015693325425586,-0.23199749492091049,-0.23199749492091049
12,Country/Area,36,Rwanda,0.014094683,0.031516875,0.0017519126627789827,0.003022555931076743,2.236082570995034,0.5025123007856955,0.8047254826052324,1.7252891626927305,0.3210818292210267,0.3210818292210267
13,Country/Area,37,Seychelles,0.00010766,0.000109436,1.338170693691978e-05,1.049521663785875e-05,1.016496377484674,0.010217149946722832,0.016361790365869988,0.7842958067556182,-0.3507501051540537,-0.3507501051540537
14,Country/Area,38,Somalia,0.018143378,0.058945283,0.0022551492405884985,0.005653016510699336,3.2488593358965456,0.7357940656152298,1.1783039611657138,2.5067150363956126,0.6394399098414931,0.6394399098414931
15,Country/Area,39,South Sudan,0.011088796,0.022952512,0.0013782929440394602,0.0022012097099953637,2.069883150524187,0.45428380901294924,0.7274921566618398,1.597055052421674,0.2552647256715439,0.2552647256715439
16,Country/Area,40,Uganda,0.048582334,0.12390553,0.006038589595946067,0.01188288479091621,2.550423575779624,0.5846489297194204,0.9362594535247759,1.9678245395073113,0.43317314315241706,0.43317314315241706
17,Country/Area,41,United Republic of Tanzania,0.067438106,0.211767563,0.008382286558359013,0.02030909801670749,3.1401766087558864,0.7145471432819995,1.1442790431651966,2.422858950873587,0.6104443755439797,0.6104443755439797
18,Country/Area,42,Zambia,0.020569737,0.056781298,0.002556735949317439,0.005445484333206767,2.760428973885276,0.6340597045759754,1.0153860929725471,2.129857928684628,0.5006037006021067,0.5006037006021067
19,Country/Area,43,Zimbabwe,0.016665409,0.034303467,0.0020714436115725926,0.003289797850749649,2.0583633440979456,0.450798754090619,0.7219111738681987,1.5881667414794407,0.2505086942828896,0.2505086942828896
20,Country/Area,45,Angola,0.036684202,0.116740342,0.00455969942763112,0.011195723342115214,3.182305614825695,0.722869167259045,1.157605970189091,2.4553643326291965,0.6218013865908809,0.6218013865908809
21,Country/Area,46,Cameroon,0.028647293,0.077767973,0.0035607438181504128,0.007458164809771466,2.7146709114889145,0.6236217685658964,0.9986707348012541,2.0945524841620093,0.4863591184066818,0.4863591184066818
22,Country/Area,47,Central African Republic,0.005742315,0.017419409,0.0007137467626739596,0.001670569749976849,3.033516795926382,0.6929683123333311,1.1097226051992541,2.3405636807630152,0.5809958877555252,0.5809958877555252
23,Country/Area,48,Chad,0.018278568,0.058333897,0.002271952816297231,0.005594382893613972,3.191382224253016,0.7246477009267116,1.1604541220886662,2.462367551598871,0.6242285397169343,0.6242285397169343
24,Country/Area,49,Congo,0.006106869,0.01539276,0.0007590593652253423,0.0014762084766856121,2.5205649572636974,0.5772951428380918,0.924483065787002,1.9447865928738912,0.4231374788623148,0.4231374788623148
25,Country/Area,50,Democratic Republic of the Congo,0.102262808,0.373738264,0.012710857581297561,0.0358425385297091,3.6546841545755324,0.8092956140042654,1.2960096748509664,2.819836372208821,0.7397469864999053,0.7397469864999053
26,Country/Area,51,Equatorial Guinea,0.001714671,0.003670059,0.0002131267398777185,0.0003519688610578168,2.1403866980896042,0.4751994209895735,0.7609865127513452,1.6514533148668205,0.2838081229179863,0.2838081229179863
27,Country/Area,52,Gabon,0.002436566,0.004944338,0.00030285539796082926,0.000474175759720725,2.029223915953847,0.4418954689305194,0.7076534125436881,1.5656836989316398,0.23835843994621997,0.23835843994621997
28,Country/Area,53,Sao Tome and Principe,0.000231856,0.000498709,2.8818772464856702e-05,4.7827579537354244e-05,2.1509428265820163,0.47827157241464724,0.7659062700076619,1.6595980830091912,0.28800066763650123,0.28800066763650123
29,Country/Area,55,Algeria,0.04560648,0.067241746,0.005668702858856522,0.00644867037700457,1.4743901743787289,0.24243996578742974,0.38824446320228073,1.1375918861101464,-0.033837165210589326,-0.033837165210589326
30,Country/Area,56,Egypt,0.112716598,0.197332109,0.014010221822056457,0.01892469784678311,1.7506925555010098,0.34970017866661596,0.560011455649205,1.350777888255112,0.11254013746505165,0.11254013746505165
31,Country/Area,57,Libya,0.006888388,0.008831456,0.0008561990477781437,0.0008469611823140235,1.2820787679207386,0.1551655381260635,0.24848279804686413,0.9892106099766256,-0.15293999906399947,-0.15293999906399947
32,Country/Area,58,Morocco,0.037840044,0.046009965,0.004703365960320915,0.004412483553632249,1.2159067521168843,0.12207414862714538,0.19549009648919385,0.9381544176781814,-0.19809959931667254,-0.19809959931667254
33,Country/Area,59,Sudan,0.048109006,0.126639023,0.005979756820718144,0.012145034368871092,2.6323350559352647,0.6043890090229223,0.967871306248259,2.0310247946525233,0.46011229873944215,0.46011229873944215
34,Country/Area,60,Tunisia,0.012458223,0.01412604,0.001548507237049912,0.0013547265071371232,1.133872784264658,0.07845551343296188,0.12563901582442363,0.8748596549784527,-0.2576256621010987,-0.2576256621010987
35,Country/Area,61,Western Sahara,0.000587259,0.001047963,7.299394235620075e-05,0.00010050256509247753,1.7844988327126532,0.36164354065325327,0.5791376098221444,1.3768617209636158,0.1288391645278817,0.1288391645278817
36,Country/Area,63,Botswana,0.002675352,0.004166773,0.0003325355416784526,0.0003996051145489658,1.5574672043155442,0.27667019936157833,0.44306091483854415,1.2016914418590676,0.012876608014760427,0.012876608014760427
