,Unnamed: 0,Variant,"Region, subregion, country or area *",Type,Year,"Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)",Population Change (thousands),Population Growth Rate (percentage),Births (thousands),Births by women aged 15 to 19 (thousands),Total Fertility Rate (live births per woman),Mean Age Childbearing (years),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)","Total Population, as of 1 July",Total Population (Billions),Births (Millions),Births (single)
0,0,Estimates,WORLD,World,1950,2499322.157,1245362.965,1253959.192,19.166,99.314,22.224,43294.722,43294.85,1.732,92083.258,10629.041,4.86,28.945,48788.536,25784.509,23004.027,46.464,44.595,48.441,0,0,2499322157.0,2.499322157,92.083258,92083258
1,1,Estimates,WORLD,World,1951,2543130.38,1267473.182,1275657.198,19.502,99.358,22.172,44322.348,44321.597,1.743,92836.9,10741.899,4.827,28.91,48514.552,25505.184,23009.368,47.144,45.403,48.965,0,0,2543130380.0,2.54313038,92.8369,92836900
2,2,Estimates,WORLD,World,1952,2590270.899,1291399.982,1298870.917,19.864,99.425,22.108,49960.072,49959.439,1.929,97606.684,11231.717,5.014,28.98,47646.612,24935.224,22711.388,48.231,46.624,49.891,0,0,2590270899.0,2.590270899,97.60668399999999,97606684
3,3,Estimates,WORLD,World,1953,2640278.797,1316659.222,1323619.574,20.247,99.474,22.036,50056.756,50056.357,1.896,97555.839,11200.749,4.937,28.928,47499.083,24806.138,22692.945,48.802,47.24,50.407,0,0,2640278797.0,2.640278797,97.555839,97555839
4,4,Estimates,WORLD,World,1954,2691979.339,1342923.171,1349056.168,20.643,99.545,21.952,53345.249,53344.728,1.982,100348.054,11471.273,5.01,28.943,47002.805,24539.831,22462.974,49.592,48.029,51.189,0,0,2691979339.0,2.691979339,100.348054,100348054
5,5,Estimates,WORLD,World,1955,2746072.141,1370392.335,1375679.806,21.058,99.616,21.845,54841.257,54840.876,1.997,101807.356,11564.618,5.012,28.927,46966.099,24565.631,22400.468,50.123,48.512,51.773,0,0,2746072141.0,2.746072141,101.807356,101807356
6,6,Estimates,WORLD,World,1956,2801002.631,1398204.9,1402797.731,21.48,99.673,21.742,55020.618,55020.104,1.964,101827.191,11523.879,4.939,28.872,46806.573,24496.325,22310.248,50.642,49.006,52.319,0,0,2801002631.0,2.801002631,101.827191,101827191
7,7,Estimates,WORLD,World,1957,2857866.857,1426956.255,1430910.602,21.916,99.724,21.634,58708.839,58708.347,2.054,105977.909,11871.441,5.076,28.912,47269.07,24758.646,22510.424,50.945,49.283,52.647,0,0,2857866857.0,2.857866857,105.977909,105977909
8,8,Estimates,WORLD,World,1958,2916108.097,1456539.031,1459569.066,22.362,99.792,21.532,57774.656,57774.134,1.981,104557.392,11690.449,4.935,28.816,46782.736,24528.202,22254.534,51.537,49.831,53.283,0,0,2916108097.0,2.916108097,104.55739200000001,104557392
9,9,Estimates,WORLD,World,1959,2970292.188,1483988.508,1486303.68,22.778,99.844,21.478,50594.592,50594.048,1.703,101921.643,11514.159,4.741,28.68,51327.051,26899.305,24427.746,49.345,47.661,51.081,0,0,2970292188.0,2.970292188,101.921643,101921643
